Etiquetas,Recomendaciones,Servicios
1. Fumar,"Es muy importante intentar dejar de fumar. Si bien parece una tarea imposible podés pedir ayuda ya que hoy se cuenta con tratamientos muy eficaces. Tu calidad de vida cambiará de manera radical, siempre es buen momento para intentarlo.","Existen diversos especialistas que pueden colaborar para que logres dejar el hábito: toxicología, neumonología e incluso servicios especializados en cesación tabáquica."
2. Alcohol,"Que su consumo de alcohol sea diario no significa necesariamente que esté frente a un problema. Hablalo con tu médico de cabecera que a partir de diversas valoraciones podrá ver qué es lo recomendable."
3. Soledad,"El apoyo social es importante. Mantener conexiones sociales con la familia, amigos y comunidad es uno de los pilares para llevar una vida sana y plena.","Nuestro municipio cuenta con múltiples centros y talleres que pueden relacionarte con pares, acercáte a alguno de ellos que estaremos contentos de recibirte."
4. Soporte social,"Sostener tus vínculos sociales. Recurrí a familia y amigos o acercate a clubes o centros barriales que impulsen actividades para adultos mayores. Lográ vincularte con pares."
5. Obesidad,"La obesidad abdominal es uno de los principales factores de riesgo cardiovascular. Mejorá tu alimentación, realizá ejercicio periódico y consultá con un nutricionista.","La obesidad en los adultos mayores es un desafío. Realizá una consulta con clínica médica para ver si es posible iniciar un plan de seguimiento para que logres bajar de peso de manera saludable."
6. Dolor,"El dolor puede ser secundario a causas agudas (como golpes, caídas) o crónicas (como artritis o fibromialgia). La presencia de dolor no debe ignorarse. El dolor puede ser muy invalidante y restringirte en tus actividades cotidianas. Es importante intentar identificar la causa del dolor y realizar un tratamiento específico.","Son muchas las especialidades que te pueden ayudar dependiendo del origen del dolor. Consulta con clínica médica para que te oriente."
7. Visión,"Aunque tengas buena visión, es recomendable realizar control oftalmológico cada 1 o 2 años. Si notás que tu visión empieza a fallar, debe acudir de manera oportuna a un especialista en oftalmología dado que muchos problemas pueden tratarse de manera temprana.","Consultá con un oftalmólogo. Muchas causas de baja visión en los adultos tienen tratamiento."
8. Audición,"La audición puede verse afectada por la edad, se recomienda realizar chequeos periódicos. Visitá al fonoaudiólogo para determinar la causa y tratamiento.","Realizá una consulta con otorrinolaringología."
9. Diabetes,"Tomá tus medicamentos a horario regular y sin saltarse las dosis. Llevá un control del azúcar según indicación médica. La dieta debe ser acorde a tu condición, evitando los azúcares y los alimentos ultraprocesados.","Dependiendo cuál sea tu estado general de salud y la magnitud de tu enfermedad, podrías realizar seguimiento con clínica médica o con diabetología."
10. EPOC,"Es muy importante intentar dejar de fumar. Si bien parece una tarea imposible podés pedir ayuda ya que hoy se cuenta con tratamientos muy eficaces.","El EPOC es una patología crónica e irreversible, pero podés garantizarte una buena calidad de vida y disminuir las exacerbaciones. Vas a requerir un enfoque multidisciplinario con kinesiología, nutrición, neumonología y clínica médica."
11. Artrosis,"La artrosis es muy frecuente en adultos mayores y puede ser muy incapacitante. Realizá las consultas a ver si sos candidato a una prótesis. Mientras tanto, es importante que realices actividad física acorde a tus posibilidades, sin sobreexigirte ni generarte dolor.","Muchas veces y dependiendo de tu estado de salud, podrás consultar con traumatología para evaluar un tratamiento quirúrgico. Es posible que un seguimiento con kinesiología mejore tu situación."
12. Dolor,"El dolor puede ser secundario a causas agudas o crónicas. La presencia de dolor no debe ignorarse, ya que puede ser muy invalidante.","Son muchas las especialidades que te pueden ayudar dependiendo del origen del dolor. Consulta con clínica médica para que te oriente."
13. Recomendaciones de ejercicio,"Realizá actividad física, especialmente aeróbica (natación, bicicleta). Mejorá tu alimentación. Comé pescado blanco al menos una vez a la semana y reducí el consumo de carnes rojas y alimentos ultraprocesados.","Recomendamos un seguimiento con cardiología."
14. Osteoporosis,"Mantené una dieta equilibrada con un aporte adecuado de proteínas (1-1,5gr/d) así como una adecuada exposición a la luz solar con uso de protector solar.","Vas a requerir seguimiento por endocrinología."
15. Movilidad,"El 75% de las caídas se producen en adultos mayores de 65 años y pueden generar graves problemas de salud.","Es importante lograr prevenir las caídas. Va a necesitar un enfoque multidisciplinario."
16. Incontinencia urinaria,"Hablá del tema, más del 70% de los pacientes con incontinencia urinaria podrían curarse, consulte a un especialista.","Realizá una consulta precoz con urología, recordá que esta situación puede ser reversible."
17. Salud mental,"Consulta con un especialista. Se puede mejorar con uso de tratamiento farmacológico adecuado. Evitar la automedicación, recordá que el uso de algunos medicamentos como las benzodiazepinas están absolutamente contraindicadas en adultos mayores.","Dependiendo del estado de salud general podrá ser abordado por diversos especialistas."
18. Salud emocional,"El apoyo social es importante. Mantener conexiones sociales con la familia, amigos y comunidad es uno de los pilares para llevar una vida sana y plena."
19. Sueño,"Intentá acostarte a una hora regular y dormir 7-8 h diarias. Evitar el uso de pantallas al menos una hora antes de acostarse."
20. RRSS,"El uso de redes sociales en adultos mayores representa una oportunidad para un mejor contacto social, acceso a información y comunicación."
21. Memoria,"Intentá vincularte con pares y mantener una vida social activa. Realizá ejercicios que te ayuden con tu memoria y realizá consulta con un especialista.","Consultá de manera precoz con neurología. Es posible que se puedan elaborar estrategias farmacológicas y no farmacológicas que te ayuden."
22. Fragilidad,"El estado de fragilidad requiere un cuidado integral para no perder más autonomía e incluso intentar recuperarla.","El anciano frágil requiere un enfoque multidisciplinario. Recomendamos que consulte con clínica médica o un especialista en gerontología para poder organizar el cuidado."
